name,price,link,collection
Piña,15000.0,https://niamiaofficial.com/products/pina,https://niamiaofficial.com/collections/new-arrivals 
LemonCake,15000.0,https://niamiaofficial.com/products/lemoncake,https://niamiaofficial.com/collections/new-arrivals 
Marshmallow,15000.0,https://niamiaofficial.com/products/marshmallow,https://niamiaofficial.com/collections/embroidered-pret
Tiramisu,15000.0,https://niamiaofficial.com/products/tiramisu,https://niamiaofficial.com/collections/embroidered-pret
Marzipan,15000.0,https://niamiaofficial.com/products/marzipan,https://niamiaofficial.com/collections/lawn-pret
Opal Shawl,15000.0,https://niamiaofficial.com/products/opal-shawl,https://niamiaofficial.com/collections/new-arrivals 
Ocean Mist,15350.0,https://niamiaofficial.com/products/ocean-mist,https://niamiaofficial.com/collections/printed-sets
Biscotti,15500.0,https://niamiaofficial.com/products/biscotti,https://niamiaofficial.com/collections/lawn-pret
Pina Pop,15500.0,https://niamiaofficial.com/products/pina-pop,https://niamiaofficial.com/collections/embroidered-pret
Pina Patch,15500.0,https://niamiaofficial.com/products/pina-patch,https://niamiaofficial.com/collections/embroidered-pret
Sundae,15500.0,https://niamiaofficial.com/products/sundae,https://niamiaofficial.com/collections/lawn-pret
Panna Cotta,15500.0,https://niamiaofficial.com/products/pannacotta,https://niamiaofficial.com/collections/lawn-pret
Botanica Pret,16000.0,https://niamiaofficial.com/products/botanica-1,https://niamiaofficial.com/collections/embroidered-pret
Candy Floss,16000.0,https://niamiaofficial.com/products/candy-floss,https://niamiaofficial.com/collections/embroidered-pret
Lemontini,16000.0,https://niamiaofficial.com/products/lemontini,https://niamiaofficial.com/collections/embroidered-pret
Skye,16000.0,https://niamiaofficial.com/products/skye,https://niamiaofficial.com/collections/embroidered-pret
Margarita,16000.0,https://niamiaofficial.com/products/margarita,https://niamiaofficial.com/collections/embroidered-pret
VERT CRU,16000.0,https://niamiaofficial.com/products/vert-cru,https://niamiaofficial.com/collections/new-arrivals 
Peony,16000.0,https://niamiaofficial.com/products/peony,https://niamiaofficial.com/collections/new-arrivals 
Lily A,16000.0,https://niamiaofficial.com/products/lily-a,https://niamiaofficial.com/collections/new-arrivals 
Lily B,16000.0,https://niamiaofficial.com/products/lily-b,https://niamiaofficial.com/collections/new-arrivals 
Rory,16000.0,https://niamiaofficial.com/products/rory,https://niamiaofficial.com/collections/embroidered-pret
Elara,16000.0,https://niamiaofficial.com/products/elara,https://niamiaofficial.com/collections/embroidered-pret
Honeyheart,16000.0,https://niamiaofficial.com/products/honeyheart,https://niamiaofficial.com/collections/embroidered-pret
Sienna,16000.0,https://niamiaofficial.com/products/sienna,https://niamiaofficial.com/collections/new-arrivals 
SOL A,16200.0,https://niamiaofficial.com/products/sol-a,https://niamiaofficial.com/collections/new-arrivals 
SOL C,16200.0,https://niamiaofficial.com/products/sol-c,https://niamiaofficial.com/collections/new-arrivals 
Abeja,16200.0,https://niamiaofficial.com/products/abeja-1,https://niamiaofficial.com/collections/festive
Blush,16350.0,https://niamiaofficial.com/products/blush-1,https://niamiaofficial.com/collections/embroidered-pret
Cherry pie,16500.0,https://niamiaofficial.com/products/cherry-pie,https://niamiaofficial.com/collections/new-arrivals 
Carnival,16500.0,https://niamiaofficial.com/products/carnival,https://niamiaofficial.com/collections/embroidered-pret
Playa,16500.0,https://niamiaofficial.com/products/playa,https://niamiaofficial.com/collections/new-arrivals 
Palmera Lilac,16500.0,https://niamiaofficial.com/products/palmera-lilac,https://niamiaofficial.com/collections/new-arrivals 
Belle,16500.0,https://niamiaofficial.com/products/belle,https://niamiaofficial.com/collections/new-arrivals 
Palmera Pink,16500.0,https://niamiaofficial.com/products/palmera-pink,https://niamiaofficial.com/collections/new-arrivals 
Biscoff,16500.0,https://niamiaofficial.com/products/biscoff,https://niamiaofficial.com/collections/embroidered-pret
Coco Beige,17000.0,https://niamiaofficial.com/products/coco-beige,https://niamiaofficial.com/collections/new-arrivals 
Fresa,17280.0,https://niamiaofficial.com/products/fresa,https://niamiaofficial.com/collections/embroidered-pret
Amor,17280.0,https://niamiaofficial.com/products/amor,https://niamiaofficial.com/collections/embroidered-pret
Cara,17280.0,https://niamiaofficial.com/products/cara,https://niamiaofficial.com/collections/embroidered-pret
SOL D,18000.0,https://niamiaofficial.com/products/sol-d,https://niamiaofficial.com/collections/new-arrivals 
SOL B,18000.0,https://niamiaofficial.com/products/sol-b,https://niamiaofficial.com/collections/new-arrivals 
Cleo,18000.0,https://niamiaofficial.com/products/cleo,https://niamiaofficial.com/collections/new-arrivals 
Ariel,18000.0,https://niamiaofficial.com/products/ariel,https://niamiaofficial.com/collections/new-arrivals 
Bloom,18000.0,https://niamiaofficial.com/products/bloom-1,https://niamiaofficial.com/collections/new-arrivals 
Twilight,18000.0,https://niamiaofficial.com/products/twilight,https://niamiaofficial.com/collections/new-arrivals 
Pink Pop,20000.0,https://niamiaofficial.com/products/pink-pop,https://niamiaofficial.com/collections/new-arrivals 
Moonlight,20000.0,https://niamiaofficial.com/products/moonlight-1,https://niamiaofficial.com/collections/new-arrivals 
Glacier,20000.0,https://niamiaofficial.com/products/glacier-1,https://niamiaofficial.com/collections/new-arrivals 
Eclipse,20000.0,https://niamiaofficial.com/products/eclipse,https://niamiaofficial.com/collections/new-arrivals 
Bubblegum,20000.0,https://niamiaofficial.com/products/bubblegum,https://niamiaofficial.com/collections/new-arrivals 
Jingle,20000.0,https://niamiaofficial.com/products/jingle,https://niamiaofficial.com/collections/new-arrivals 
Snowflake,20000.0,https://niamiaofficial.com/products/snowflake,https://niamiaofficial.com/collections/new-arrivals 
Pink Appliqué Set,22000.0,https://niamiaofficial.com/products/pink-applique-set,https://niamiaofficial.com/collections/new-arrivals 
Jasmine,22000.0,https://niamiaofficial.com/products/jasmine,https://niamiaofficial.com/collections/new-arrivals 
Vino B,25000.0,https://niamiaofficial.com/products/vino-b,https://niamiaofficial.com/collections/new-arrivals 
Lavender Glaze,25000.0,https://niamiaofficial.com/products/lavender-glaze-1,https://niamiaofficial.com/collections/new-arrivals 
Sugar Swirl,25000.0,https://niamiaofficial.com/products/sugar-swirl,https://niamiaofficial.com/collections/new-arrivals 
Lovenote,25000.0,https://niamiaofficial.com/products/lovenote,https://niamiaofficial.com/collections/new-arrivals 
Cocoa Cream,25000.0,https://niamiaofficial.com/products/cocoa-cream,https://niamiaofficial.com/collections/new-arrivals 
Opal,25000.0,https://niamiaofficial.com/products/opal,https://niamiaofficial.com/collections/new-arrivals 
Thread,25000.0,https://niamiaofficial.com/products/thread,https://niamiaofficial.com/collections/new-arrivals 
Primrose Cobalt,25920.0,https://niamiaofficial.com/products/primrose-cobalt,https://niamiaofficial.com/collections/embroidered-pret
Vino G,27000.0,https://niamiaofficial.com/products/vino-g,https://niamiaofficial.com/collections/new-arrivals 
Vanilla Mist,28000.0,https://niamiaofficial.com/products/vanilla-mist,https://niamiaofficial.com/collections/new-arrivals 
Pearl,28000.0,https://niamiaofficial.com/products/pearl-1,https://niamiaofficial.com/collections/new-arrivals 
Buttercream,30000.0,https://niamiaofficial.com/products/buttercream,https://niamiaofficial.com/collections/festive
Belle Shawl,30000.0,https://niamiaofficial.com/products/belle-shawl,https://niamiaofficial.com/collections/new-arrivals 
Carnation,30000.0,https://niamiaofficial.com/products/carnation,https://niamiaofficial.com/collections/festive
Cosmic,30000.0,https://niamiaofficial.com/products/cosmic,https://niamiaofficial.com/collections/new-arrivals 
Starlight,30000.0,https://niamiaofficial.com/products/starlight,https://niamiaofficial.com/collections/new-arrivals 
Edra,35000.0,https://niamiaofficial.com/products/edra,https://niamiaofficial.com/collections/new-arrivals 
Champagne,35000.0,https://niamiaofficial.com/products/champagne,https://niamiaofficial.com/collections/new-arrivals 
Twinkle,35000.0,https://niamiaofficial.com/products/twinkle,https://niamiaofficial.com/collections/new-arrivals 
Galaxy,35000.0,https://niamiaofficial.com/products/galaxy,https://niamiaofficial.com/collections/new-arrivals 
Niasa,37800.0,https://niamiaofficial.com/products/niasa,https://niamiaofficial.com/collections/festive
Aroha,38000.0,https://niamiaofficial.com/products/aroha,https://niamiaofficial.com/collections/festive
Lilac Sheesh,38000.0,https://niamiaofficial.com/products/lilac-sheesh-pre-order,https://niamiaofficial.com/collections/festive
Trio,38500.0,https://niamiaofficial.com/products/trio-dupatta,https://niamiaofficial.com/collections/festive
Emerald,40000.0,https://niamiaofficial.com/products/emerald-1,https://niamiaofficial.com/collections/new-arrivals 
Diamond,40000.0,https://niamiaofficial.com/products/diamond,https://niamiaofficial.com/collections/new-arrivals 
Ruby,40000.0,https://niamiaofficial.com/products/ruby,https://niamiaofficial.com/collections/new-arrivals 
Casa Blanca,42000.0,https://niamiaofficial.com/products/casa-blanca,https://niamiaofficial.com/collections/printed-silks
Flounder,42000.0,https://niamiaofficial.com/products/flounder-1,https://niamiaofficial.com/collections/printed-silks
Madagascar,42000.0,https://niamiaofficial.com/products/madagascar,https://niamiaofficial.com/collections/printed-silks
Cairo,42000.0,https://niamiaofficial.com/products/cairo,https://niamiaofficial.com/collections/printed-silks
Pina Colada,49500.0,https://niamiaofficial.com/products/pina-colada,https://niamiaofficial.com/collections/printed-silks
Mistletoe,55000.0,https://niamiaofficial.com/products/mistletoe,https://niamiaofficial.com/collections/new-arrivals 
Crème,60000.0,https://niamiaofficial.com/products/creme,https://niamiaofficial.com/collections/festive
Sunset - Formal,110000.0,https://niamiaofficial.com/products/sunset-formal,https://niamiaofficial.com/collections/new-arrivals 
